location,year,price_per_sqft
0,Nipania,2019,3523.0
1,Bhicholi Mardana,2019,3250.0
2,Rau,2019,2191.0
3,Bhawrasla,2019,2319.0
4,Mahalakshmi Nagar,2019,4165.0
5,Manglia,2019,1456.0
6,Lasudia Mori,2019,3070.0
7,Palakhedi,2019,1590.0
8,Omex City,2019,2301.0
9,Vijay Nagar,2019,3998.0
10,Scheme No 114,2019,3295.0
11,Maharaja Tukoji Rao Holker Cloth Market,2019,3600.0
12,Talawali Chanda,2019,2478.0
13,Sangam Nagar,2019,3347.0
14,New Rani Bagh,2019,3312.0
15,Ringnodiya,2019,2249.0
16,Sahara City Homes,2019,4511.0
17,Bada Bangarda,2019,1888.0
18,Scheme 78,2019,4808.0
19,Rajendra Nagar,2019,3505.0
20,Nipania,2019,26809.0
21,Vijay Nagar,2019,16378.0
22,Bhicholi Mardana,2019,10919.0
23,Lasudia Mori,2019,15557.0
24,Mahalakshmi Nagar,2019,20248.0
25,Sahara City Homes,2019,14255.0
26,New Rani Bagh,2019,11318.0
27,Bengali Square,2019,13007.0
28,Rau,2019,9205.0
29,Manorama Ganj,2019,16644.0
30,LIG Colony,2019,17313.0
31,Palasia,2019,20290.0
32,Scheme No 114,2019,18416.0
33,Old Palasia,2019,17633.0
34,Bhawrasla,2019,10865.0
35,Talawali Chanda,2019,11521.0
36,Rajendra Nagar,2019,9442.0
37,Sukhliya,2019,11368.0
38,Maharaja Tukoji Rao Holker Cloth Market,2019,19472.0
39,Sanvid Nagar,2019,31222.0
0,Nipania,2020,3562.0
1,Bhicholi Mardana,2020,3046.0
2,Lasudia Mori,2020,3121.0
3,Mahalakshmi Nagar,2020,3757.0
4,Rau,2020,2571.0
5,Vijay Nagar,2020,3760.0
6,Bhawrasla,2020,2690.0
7,Scheme No 114,2020,2831.0
8,Talawali Chanda,2020,2766.0
9,New Rani Bagh,2020,3274.0
10,Sahara City Homes,2020,4086.0
11,Scheme 78,2020,4610.0
12,Sangam Nagar,2020,3783.0
13,Rajendra Nagar,2020,3582.0
14,Omex City,2020,2958.0
15,Sukhliya,2020,3817.0
16,Mundla Nayta,2020,3240.0
17,Silicon City,2020,2657.0
18,Manorama Ganj,2020,8080.0
19,Maharaja Tukoji Rao Holker Cloth Market,2020,3430.0
20,Nipania,2020,26809.0
21,Vijay Nagar,2020,16378.0
22,Bhicholi Mardana,2020,10919.0
23,Lasudia Mori,2020,15557.0
24,Mahalakshmi Nagar,2020,20248.0
25,Sahara City Homes,2020,14255.0
26,New Rani Bagh,2020,11318.0
27,Bengali Square,2020,13007.0
28,Rau,2020,9205.0
29,Manorama Ganj,2020,16644.0

30,LIG Colony,2020,17313.0
31,Palasia,2020,20290.0
32,Scheme No 114,2020,18416.0
33,Old Palasia,2020,17633.0
34,Bhawrasla,2020,10865.0
35,Talawali Chanda,2020,11521.0
36,Rajendra Nagar,2020,9442.0
37,Sukhliya,2020,11368.0
38,Sanvid Nagar,2020,31222.0
39,Maharaja Tukoji Rao Holker Cloth Market,2020,19472.0
